epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1694.93,0.59748,0.44357,1.21636,0.19765,0.09429,0.21047,0.11176,1.43818,8.54895,2.22283,0.000540037,0.000540037,0.000540037
43,1728.84,0.59897,0.4523,1.22637,0.32997,0.09061,0.15706,0.08588,1.34178,7.813,2.18017,0.000531038,0.000531038,0.000531038
44,1762.84,0.60253,0.44977,1.22489,0.29643,0.09061,0.17607,0.09047,1.51871,8.57058,2.31246,0.000522039,0.000522039,0.000522039
45,1796.6,0.59252,0.44272,1.21763,0.23437,0.17152,0.26653,0.14115,1.52199,8.67723,2.1414,0.00051304,0.00051304,0.00051304
46,1830.29,0.6028,0.44086,1.22174,0.191,0.15635,0.21083,0.12297,1.5571,8.54208,2.30548,0.00050404,0.00050404,0.00050404
47,1863.98,0.59511,0.44468,1.22309,0.19717,0.12945,0.22847,0.14196,1.46921,8.77136,2.23057,0.000495041,0.000495041,0.000495041
48,1897.8,0.59149,0.4296,1.21334,0.20477,0.14949,0.26288,0.15635,1.37529,9.07821,1.99508,0.000486042,0.000486042,0.000486042
49,1931.54,0.58637,0.44051,1.2129,0.21097,0.29126,0.26183,0.15606,1.20348,8.51125,1.87323,0.000477043,0.000477043,0.000477043
50,1965.09,0.58398,0.42296,1.21366,0.17194,0.15171,0.22232,0.13124,1.27084,8.96787,1.938,0.000468044,0.000468044,0.000468044
51,1999,0.59775,0.43746,1.21472,0.20903,0.11429,0.20753,0.1128,1.69586,9.26344,2.28117,0.000459045,0.000459045,0.000459045
52,2032.47,0.58636,0.43086,1.21604,0.16166,0.16763,0.18922,0.11433,1.41109,8.59855,2.22537,0.000450046,0.000450046,0.000450046
53,2066.21,0.59014,0.4227,1.21878,0.18799,0.1068,0.23942,0.14541,1.5389,9.54516,2.31679,0.000441047,0.000441047,0.000441047
54,2099.79,0.58352,0.4137,1.20919,0.15396,0.12223,0.15604,0.08725,1.33818,8.61914,2.14403,0.000432048,0.000432048,0.000432048
55,2133.37,0.58345,0.41942,1.20751,0.31532,0.09061,0.16564,0.08429,1.44054,8.79621,2.25282,0.000423049,0.000423049,0.000423049
56,2166.7,0.57999,0.41961,1.20854,0.17712,0.15779,0.19122,0.11016,1.55493,8.90901,2.30029,0.000414049,0.000414049,0.000414049
57,2200.93,0.57308,0.41571,1.20224,0.19518,0.10032,0.16735,0.09275,1.30943,8.22991,2.13429,0.00040505,0.00040505,0.00040505
58,2234.8,0.57993,0.40982,1.20098,0.22839,0.19722,0.25278,0.13809,1.47118,8.20636,2.18554,0.000396051,0.000396051,0.000396051
59,2270.49,0.58372,0.42028,1.21151,0.20154,0.2722,0.2382,0.13741,1.32116,8.3528,2.11077,0.000387052,0.000387052,0.000387052
