epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,282.139,0.9161,0.94204,1.04673,0.67422,0.85238,0.81121,0.43726,1.32043,1.16459,1.48361,0.000848969,0.000848969,0.000848969
43,288.918,0.92904,0.94584,1.03969,0.60444,0.89856,0.78877,0.42949,1.31877,1.05963,1.47054,0.000834822,0.000834822,0.000834822
44,296.119,0.91977,0.93363,1.03474,0.58143,0.87581,0.74616,0.43132,1.32492,1.09728,1.45715,0.000820675,0.000820675,0.000820675
45,302.973,0.90732,0.92069,1.05008,0.68702,0.77002,0.75544,0.41123,1.33802,1.15266,1.48075,0.000806528,0.000806528,0.000806528
46,309.918,0.90802,0.93688,1.03666,0.73275,0.8434,0.78439,0.43267,1.35131,1.14691,1.46456,0.00079238,0.00079238,0.00079238
47,317.134,0.93329,0.92182,1.02974,0.79924,0.7826,0.83907,0.44447,1.4251,1.22132,1.52564,0.000778233,0.000778233,0.000778233
48,324.14,0.91196,0.92118,1.03352,0.76542,0.82835,0.85143,0.47391,1.34686,1.03217,1.50621,0.000764086,0.000764086,0.000764086
49,331.225,0.90463,0.93126,1.03235,0.71707,0.90481,0.79511,0.4385,1.36293,1.07357,1.49189,0.000749939,0.000749939,0.000749939
50,337.973,0.91233,0.9169,1.03973,0.72001,0.8806,0.83031,0.44877,1.359,1.07749,1.47378,0.000735792,0.000735792,0.000735792
51,344.919,0.91992,0.92021,1.0403,0.62138,0.88404,0.74984,0.41378,1.38281,1.12139,1.5115,0.000721645,0.000721645,0.000721645
52,352.056,0.90173,0.89193,1.03407,0.64458,0.82027,0.75243,0.42862,1.33903,1.23769,1.49261,0.000707498,0.000707498,0.000707498
53,359.697,0.90577,0.89404,1.04421,0.70571,0.77887,0.80604,0.45266,1.33822,1.1042,1.51403,0.000693351,0.000693351,0.000693351
54,366.96,0.89677,0.91941,1.02738,0.64327,0.85869,0.72648,0.41404,1.3303,1.08347,1.47391,0.000679204,0.000679204,0.000679204
55,373.901,0.88446,0.91157,1.02237,0.70879,0.89005,0.79668,0.43689,1.37464,1.10477,1.51237,0.000665057,0.000665057,0.000665057
56,381.287,0.92395,0.91516,1.04482,0.66134,0.82896,0.81413,0.43313,1.38198,1.05399,1.50359,0.000650909,0.000650909,0.000650909
57,388.642,0.88495,0.92761,1.04166,0.62064,0.82274,0.73517,0.41011,1.37293,1.02953,1.51791,0.000636762,0.000636762,0.000636762
58,395.676,0.89597,0.90677,1.02843,0.6335,0.84237,0.79091,0.44818,1.29904,1.02327,1.4789,0.000622615,0.000622615,0.000622615
59,402.744,0.8905,0.89799,1.0244,0.61664,0.87456,0.81142,0.4389,1.29924,1.02493,1.48357,0.000608468,0.000608468,0.000608468
60,409.418,0.87967,0.8913,1.03665,0.62662,0.91368,0.83611,0.45871,1.32721,1.02517,1.51051,0.000594321,0.000594321,0.000594321
61,415.787,0.88158,0.91219,1.02304,0.75675,0.73757,0.83909,0.45702,1.25262,1.0304,1.43929,0.000580174,0.000580174,0.000580174
62,422.238,0.88849,0.90869,1.0231,0.631,0.88432,0.75765,0.42554,1.2782,1.04108,1.44367,0.000566027,0.000566027,0.000566027
63,428.518,0.90357,0.92143,1.03392,0.60882,0.85656,0.77651,0.42562,1.38309,1.02259,1.51865,0.00055188,0.00055188,0.00055188
64,434.782,0.87032,0.91246,1.01862,0.62108,0.83393,0.70272,0.41748,1.30558,1.07889,1.47641,0.000537733,0.000537733,0.000537733
65,441.17,0.86657,0.8951,1.02639,0.61138,0.87292,0.73991,0.42137,1.32526,1.085,1.49567,0.000523586,0.000523586,0.000523586
66,447.432,0.88034,0.89624,1.03301,0.63098,0.79314,0.71419,0.40665,1.37007,1.12247,1.52288,0.000509438,0.000509438,0.000509438
67,453.912,0.88949,0.90085,1.03299,0.67126,0.79574,0.76591,0.41747,1.32635,1.14802,1.5086,0.000495291,0.000495291,0.000495291
68,460.088,0.86851,0.89517,1.02261,0.70446,0.8527,0.82346,0.45371,1.31057,1.09908,1.47203,0.000481144,0.000481144,0.000481144
69,466.331,0.86391,0.90084,1.02899,0.6408,0.87144,0.77809,0.43826,1.30322,1.03028,1.49182,0.000466997,0.000466997,0.000466997
70,472.488,0.85836,0.88584,1.02489,0.70323,0.77759,0.7937,0.43635,1.28871,1.0635,1.4869,0.00045285,0.00045285,0.00045285
71,478.608,0.87273,0.89064,1.03208,0.62502,0.89137,0.75223,0.43501,1.26171,1.01956,1.47343,0.000438703,0.000438703,0.000438703
72,484.96,0.85559,0.89431,1.01928,0.61447,0.87982,0.7766,0.42385,1.30946,1.02353,1.47744,0.000424556,0.000424556,0.000424556
73,491.169,0.88701,0.88676,1.02358,0.59347,0.87748,0.7373,0.42066,1.30763,1.03747,1.49042,0.000410409,0.000410409,0.000410409
74,497.304,0.87189,0.88614,1.03866,0.66657,0.82765,0.75956,0.43956,1.30857,1.09653,1.4913,0.000396262,0.000396262,0.000396262
75,503.465,0.88067,0.87264,1.0299,0.64681,0.85213,0.73362,0.41127,1.36263,1.06821,1.51582,0.000382115,0.000382115,0.000382115
76,509.752,0.86536,0.88663,1.01541,0.65474,0.87773,0.78574,0.44414,1.29711,1.01517,1.49944,0.000367967,0.000367967,0.000367967
77,515.931,0.86347,0.88763,1.0262,0.64514,0.8589,0.77195,0.43314,1.32173,1.03191,1.50413,0.00035382,0.00035382,0.00035382
78,522.127,0.87622,0.89905,1.02186,0.64077,0.82373,0.74779,0.43408,1.28228,1.0594,1.47498,0.000339673,0.000339673,0.000339673
79,528.261,0.86495,0.87552,1.03194,0.603,0.84119,0.77868,0.42909,1.34136,1.10001,1.50943,0.000325526,0.000325526,0.000325526
80,534.517,0.85881,0.87348,1.01794,0.65915,0.75109,0.7669,0.41861,1.34888,1.08602,1.48715,0.000311379,0.000311379,0.000311379
81,540.652,0.84406,0.87195,1.01707,0.65362,0.7607,0.76399,0.44227,1.30244,1.06873,1.47133,0.000297232,0.000297232,0.000297232
82,546.732,0.84825,0.86975,1.0234,0.63243,0.79507,0.7549,0.42183,1.29027,1.08058,1.46726,0.000283085,0.000283085,0.000283085
83,553.043,0.85011,0.88202,1.01598,0.66903,0.81487,0.7541,0.42845,1.32875,1.10875,1.49151,0.000268938,0.000268938,0.000268938
84,559.193,0.8517,0.89471,1.01543,0.64274,0.82969,0.76108,0.43875,1.33703,1.0633,1.49286,0.000254791,0.000254791,0.000254791
85,565.392,0.83256,0.88032,1.00688,0.63181,0.80951,0.74117,0.42563,1.30011,1.08489,1.47216,0.000240644,0.000240644,0.000240644
86,571.524,0.85983,0.87555,1.0207,0.64637,0.8273,0.77853,0.43025,1.33306,1.06758,1.49426,0.000226497,0.000226497,0.000226497
87,577.597,0.8442,0.86104,1.02006,0.61128,0.8219,0.75344,0.41555,1.33825,1.0611,1.50649,0.000212349,0.000212349,0.000212349
88,583.695,0.84292,0.89124,1.01677,0.64303,0.83236,0.7585,0.42484,1.31364,1.03343,1.49893,0.000198202,0.000198202,0.000198202
89,589.878,0.85319,0.8682,1.02471,0.63508,0.82761,0.73827,0.41923,1.30632,1.04153,1.4955,0.000184055,0.000184055,0.000184055
90,596.033,0.8473,0.87541,1.02943,0.63944,0.81234,0.76734,0.42659,1.31192,1.02905,1.50325,0.000169908,0.000169908,0.000169908
91,603.114,0.82577,0.86312,1.02914,0.60488,0.82718,0.72648,0.39301,1.35654,1.06794,1.53072,0.000155761,0.000155761,0.000155761
92,609.199,0.82035,0.84351,1.02778,0.59114,0.82301,0.72496,0.3937,1.38404,1.098,1.55296,0.000141614,0.000141614,0.000141614
93,615.291,0.81292,0.84926,1.03579,0.6192,0.80487,0.74203,0.40136,1.39111,1.08386,1.56297,0.000127467,0.000127467,0.000127467
94,621.346,0.80993,0.84705,1.02996,0.61362,0.80743,0.72735,0.40116,1.39957,1.11877,1.55257,0.00011332,0.00011332,0.00011332
95,627.421,0.81444,0.83908,1.03433,0.64705,0.80787,0.75616,0.4136,1.38349,1.09039,1.5559,9.91726e-05,9.91726e-05,9.91726e-05
96,633.489,0.80903,0.84062,1.03018,0.608,0.79255,0.73869,0.40785,1.38885,1.09332,1.55967,8.50255e-05,8.50255e-05,8.50255e-05
97,639.522,0.81348,0.84195,1.02018,0.62194,0.80431,0.71956,0.39536,1.40911,1.14877,1.56305,7.08784e-05,7.08784e-05,7.08784e-05
98,645.713,0.81183,0.84018,1.02706,0.63457,0.81308,0.73409,0.40467,1.39401,1.1314,1.55553,5.67313e-05,5.67313e-05,5.67313e-05
99,651.78,0.78849,0.84014,1.01148,0.64054,0.80735,0.73225,0.40141,1.3952,1.14521,1.55892,4.25842e-05,4.25842e-05,4.25842e-05
100,657.836,0.79543,0.83305,1.00223,0.62996,0.79317,0.73126,0.39754,1.3974,1.15094,1.55761,2.84371e-05,2.84371e-05,2.84371e-05
