epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5374,1.39899,2.21615,1.67403,0.63396,0.59288,0.62675,0.33305,1.49987,1.85164,1.78894,0.00332769,0.00332769,0.00332769
2,168.354,1.38832,1.74174,1.65659,0.67336,0.60845,0.65331,0.31731,1.65669,1.52245,1.94673,0.00659508,0.00659508,0.00659508
3,259.04,1.49802,1.77855,1.76679,0.37591,0.43938,0.34865,0.12192,2.0592,2.38251,2.56894,0.00979647,0.00979647,0.00979647
4,356.151,1.56175,1.81612,1.82568,0.61378,0.59511,0.60808,0.26512,1.80777,1.68128,2.14048,0.009703,0.009703,0.009703
5,449.478,1.51796,1.72589,1.78272,0.67878,0.61958,0.6521,0.29687,1.7289,1.59076,2.03211,0.009604,0.009604,0.009604
6,545.609,1.46922,1.63311,1.75342,0.69467,0.63737,0.68667,0.34225,1.64335,1.43692,1.98936,0.009505,0.009505,0.009505
7,633.115,1.43289,1.56353,1.71389,0.68597,0.65851,0.69861,0.35157,1.62052,1.37792,1.92701,0.009406,0.009406,0.009406
8,721.707,1.40843,1.5286,1.69633,0.65218,0.67368,0.688,0.35031,1.59931,1.3615,1.91638,0.009307,0.009307,0.009307
9,802.082,1.38625,1.47519,1.67078,0.72849,0.70968,0.76563,0.40236,1.54324,1.21016,1.86636,0.009208,0.009208,0.009208
10,883.43,1.36865,1.43701,1.65522,0.76093,0.70523,0.7679,0.40998,1.55209,1.19967,1.84917,0.009109,0.009109,0.009109
11,964.109,1.35525,1.41585,1.647,0.74247,0.6414,0.73158,0.36672,1.64498,1.25412,1.99426,0.00901,0.00901,0.00901
12,1043.12,1.33154,1.38654,1.62591,0.74485,0.71079,0.77067,0.43698,1.44143,1.16875,1.76377,0.008911,0.008911,0.008911
13,1120.74,1.31723,1.33997,1.61468,0.77028,0.72191,0.78391,0.43704,1.47096,1.12642,1.79398,0.008812,0.008812,0.008812
14,1201.09,1.30966,1.3289,1.61042,0.74568,0.73709,0.79436,0.45178,1.43873,1.08944,1.75075,0.008713,0.008713,0.008713
15,1280.88,1.28034,1.27577,1.58812,0.7703,0.7647,0.80975,0.47163,1.40736,1.03953,1.73605,0.008614,0.008614,0.008614
16,1365.36,1.2823,1.25817,1.57902,0.7714,0.76529,0.81699,0.4741,1.38414,1.03197,1.69692,0.008515,0.008515,0.008515
17,1449.22,1.27184,1.24257,1.57186,0.78411,0.80534,0.83386,0.4882,1.40242,0.96677,1.71871,0.008416,0.008416,0.008416
18,1532.96,1.25862,1.22826,1.55977,0.74663,0.75063,0.80923,0.47918,1.36191,1.03421,1.67809,0.008317,0.008317,0.008317
19,1617.83,1.23618,1.19388,1.54242,0.75728,0.79125,0.81868,0.47798,1.38973,0.98898,1.70755,0.008218,0.008218,0.008218
20,1702,1.22793,1.18104,1.53691,0.7827,0.77729,0.83636,0.48565,1.39531,0.97546,1.71565,0.008119,0.008119,0.008119
21,1786.41,1.21812,1.17147,1.52523,0.78982,0.78164,0.83392,0.49788,1.37336,1.01595,1.67806,0.00802,0.00802,0.00802
22,1871.43,1.20956,1.1419,1.51643,0.77647,0.80534,0.83812,0.49452,1.39983,0.93451,1.70494,0.007921,0.007921,0.007921
23,1956.76,1.20419,1.12026,1.50979,0.78154,0.78792,0.83227,0.48899,1.39723,0.97878,1.69764,0.007822,0.007822,0.007822
24,2041.46,1.19015,1.11336,1.50124,0.79464,0.79422,0.8506,0.51084,1.36634,0.91827,1.68584,0.007723,0.007723,0.007723
25,2126.14,1.18491,1.10651,1.49691,0.82345,0.79644,0.86283,0.5128,1.37061,0.90776,1.67921,0.007624,0.007624,0.007624
26,2214.64,1.17996,1.09039,1.49361,0.81707,0.79994,0.85236,0.52519,1.31426,0.88692,1.63931,0.007525,0.007525,0.007525
27,2301.97,1.1679,1.07399,1.479,0.81988,0.75441,0.84376,0.5093,1.33593,0.94608,1.65106,0.007426,0.007426,0.007426
28,2385.97,1.16456,1.0707,1.48099,0.836,0.78865,0.85254,0.52279,1.3114,0.9175,1.63022,0.007327,0.007327,0.007327
29,2470.14,1.15535,1.0477,1.46654,0.83412,0.81665,0.86745,0.53363,1.31934,0.84169,1.64175,0.007228,0.007228,0.007228
30,2555.02,1.14214,1.03298,1.45476,0.78275,0.8136,0.84731,0.52583,1.29359,0.88293,1.61649,0.007129,0.007129,0.007129
31,2638.89,1.13778,1.0251,1.44977,0.8287,0.83537,0.87447,0.54458,1.29319,0.82856,1.6207,0.00703,0.00703,0.00703
